HOG	OG	Gene Tree Parent Clade	GCA_000005845.2	GCA_000025565.1	GCA_000742755.1
N0.HOG0000085	OG0000038	n0	b0343 _lacY_ lactose permease	ECL_03692 galactoside permease, ECL_05077 oligosaccharide/H+ symporter_ major facilitator superfamily, ECL_04349 major facilitator superfamily oligosaccharide/H+ symporter	VK055_0888 _lacY_ lacY lactose MFS transporter, VK055_3273 _lacY4_ lacY lactose MFS transporter, VK055_2851 _lacY3_ lacY lactose MFS transporter, VK055_1660 _lacY2_ lacY lactose MFS transporter, VK055_4262 _lacY5_ lacY lactose MFS transporter
N0.HOG0000086	OG0000039	n1	b3265 _acrE_ multidrug efflux pump membrane fusion lipoprotein AcrE	ECL_04649 RND family efflux transporter MFP subunit	VK055_3803 _acrA2_ acrA Membrane Fusion Protein
N0.HOG0000087	OG0000039	n4	b3513 _mdtE_ multidrug efflux pump membrane fusion protein MdtE	ECL_00055 _eefA_ multidrug efflux periplasmic linker protein EefA	VK055_3427 efflux transporter_ RND family_ MFP subunit
N0.HOG0000088	OG0000039	n6	b0463 _acrA_ multidrug efflux pump membrane fusion lipoprotein AcrA	ECL_01234 _acrA_ AcrA protein	VK055_2105 _acrA_ acrA Membrane Fusion Protein
N0.HOG0000089	OG0000040	n1	b0942 _ycbU_ putative fimbrial protein YcbU	ECL_01108 _mrfE_ type-1 fimbrial protein, ECL_01105 _mrfB_ fimbrial anchor _mannose-resistance fimbriae__ MrfB protein	VK055_2994 fimbrial family protein
N0.HOG0000090	OG0000040	n5	b4314 _fimA_ type 1 fimbriae major subunit		VK055_4233 _fim2_ fimbrial subunit type 1
N0.HOG0000091	OG0000040	n6	b0530 _sfmA_ putative fimbrial protein SfmA	ECL_01278 _fimA_ major type 1 subunit fimbrin _pilin_	VK055_2290 _fim_ fimbrial subunit type 1
N0.HOG0000092	OG0000041	n1	b1823 _cspC_ transcription antiterminator and regulator of mRNA stability CspC	ECL_01480 Cold shock-like protein cspC	VK055_0110 _cspC_ stress_ member of the CspA stress protein_ member of the CspA family predicted DNA-binding transcriptional regulator
N0.HOG0000093	OG0000041	n4	b3556 _cspA_ cold shock protein CspA	ECL_00213 major cold shock protein	VK055_3550 _cspA_ cspA transcriptional activator
N0.HOG0000094	OG0000041	n6	b0623 _cspE_ transcription antiterminator and regulator of RNA stability CspE	ECL_03071 cold shock protein CspE	VK055_1876 _cspE_ transcription antiterminator and regulator of RNA stability
N0.HOG0000095	OG0000042	n1	b1285 _pdeR_ cyclic di-GMP phosphodiesterase PdeR	ECL_01754 RNase II stability modulator	VK055_0808 diguanylate cyclase domain protein
N0.HOG0000096	OG0000042	n3	b1489 _dosP_ oxygen-sensing c-di-GMP phosphodiesterase DosP, b0833 _pdeI_ putative c-di-GMP phosphodiesterase PdeI	ECL_02167 hypothetical protein, ECL_04648 diguanylate cyclase/phosphodiesterase, ECL_01826 diguanylate cyclase/phosphodiesterase	VK055_5065 diguanylate cyclase domain protein
N0.HOG0000097	OG0000043	n0	b1736 _chbA_ N_N'-diacetylchitobiose-specific PTS enzyme IIA component	ECL_02437 N_N'-diacetylchitobiose-specific PTS system transporter subunit IIA, ECL_00047 phosphotransferase system PTS_ lactose/cellobiose-specific IIA subunit, ECL_00247 phosphotransferase system PTS_ lactose/cellobiose-specific IIA subunit	VK055_1225 PTS system_ Lactose/Cellobiose specific IIA subunit, VK055_4439 PTS system_ Lactose/Cellobiose specific IIA subunit, VK055_3409 PTS system_ Lactose/Cellobiose specific IIA subunit, VK055_0666 PTS system_ Lactose/Cellobiose specific IIA subunit, VK055_3107 PTS system_ Lactose/Cellobiose specific IIA subunit
N0.HOG0000098	OG0000044	n1	b2468 _aegA_ putative oxidoreductase AegA	ECL_03765 putative oxidoreductase Fe-S binding subunit	VK055_4709 glutamate synthase_ small subunit domain protein
N0.HOG0000099	OG0000044	n3	b2887 _ygfT_ putative oxidoreductase YgfT, b2146 _preT_ dihydropyrimidine dehydrogenase _NAD_+__ subunit PreT, b2878 _ygfK_ putative oxidoreductase_ Fe-S subunit, b3213 _gltD_ glutamate synthase subunit GltD	ECL_04603 glutamate synthase _NADPH/NADH_ small subunit	VK055_3852 _gltD_ glutamate synthase _NADPH_ small chain glutamatesynthase_ small subunit
N0.HOG0000100	OG0000045	n1	b2224 _atoB_ acetyl-CoA acetyltransferase	ECL_02404 acetyl-CoA acetyltransferase	VK055_0789 acetyl-CoA C-acetyltransferase family protein, VK055_4876 thiolase_ C-terminal domain protein, VK055_4877 _thlA_ acetyl-CoA acetyltransferase, VK055_0413 acetyl-CoA C-acetyltransferase family protein
N0.HOG0000101	OG0000045	n6	b2844 _yqeF_ putative acyltransferase	ECL_04179 acetyl-CoA acetyltransferase	VK055_4254 acetyl-CoA C-acetyltransferase family protein
N0.HOG0000102	OG0000046	n1	b3415 _gntT_ high-affinity gluconate transporter	ECL_04779 high-affinity gluconate transporter	VK055_3686 _gntT_ gntT Gluconate Gnt transporter
N0.HOG0000103	OG0000046	n3	b4265 _idnT_ L-idonate/5-ketogluconate/gluconate transporter, b4296 _yjhF_ putative transporter YjhF, b4321 _gntP_ fructuronate transporter, b2365 _dsdX_ D-serine transporter	ECL_00024 hypothetical protein	VK055_3385 dsdX Gnt transporter
N0.HOG0000104	OG0000047	n1	b2686 _emrB_ multidrug efflux pump membrane subunit EmrB	ECL_04023 EmrB/QacA family drug resistance transporter	VK055_4501 H+ antiporter-2 family protein
N0.HOG0000105	OG0000047	n3	b2367 _emrY_ tripartite efflux pump membrane subunit EmrY	ECL_02910 drug resistance transporter_ EmrB/QacA subfamily	VK055_1151 major Facilitator Superfamily protein, VK055_3432 H+ antiporter-2 family protein, VK055_0713 H+ antiporter-2 family protein, VK055_4200 H+ antiporter-2 family protein
N0.HOG0000106	OG0000048	n2	b2789 _gudP_ galactarate/D-glucarate transporter GudP		VK055_4382 D-galactonate transporter family protein
N0.HOG0000107	OG0000048	n3	b3127 _garP_ galactarate/D-glucarate transporter GarP		VK055_3855 sugar _and other_ transporter family protein, VK055_0865 sugar _and other_ transporter family protein, VK055_2502 sugar _and other_ transporter family protein, VK055_0332 major Facilitator Superfamily protein, VK055_3927 D-galactonate transporter family protein
N0.HOG0000108	OG0000049	n1	b2841 _araE_ arabinose_H_+_ symporter	ECL_04174 arabinose-proton symporter	VK055_4260 MFS transporter_ sugar porter family protein
N0.HOG0000109	OG0000049	n4	b2943 _galP_ galactose_H_+_ symporter	ECL_04272 putative galactose-proton symporter	VK055_4103 MFS transporter_ sugar porter family protein
N0.HOG0000110	OG0000049	n6	b4031 _xylE_ D-xylose_H_+_ symporter		VK055_0802 MFS transporter_ sugar porter family protein, VK055_4629 MFS transporter_ sugar porter family protein
N0.HOG0000111	OG0000050	n0	b3558 _insK_ IS150 family conserved protein InsB	ECL_A095 putative IS3 family transposase orfB, ECL_03701 putative integrase	VK055_2272 putative transposase, VK055_4147 putative transposase, VK055_1989 putative transposase, VK055_0733 putative transposase, VK055_2785 putative transposase, VK055_1910 putative transposase
N0.HOG0000112	OG0000051	n1	b3751 _rbsB_ ribose ABC transporter periplasmic binding protein	ECL_05130 ribose transport system substrate-binding protein	VK055_3317 rbsB
N0.HOG0000113	OG0000051	n3	b4088 _alsB_ D-allose ABC transporter periplasmic binding protein	ECL_03806 _rbsB_ ribose transport system substrate-binding protein	VK055_2042 periplasmic binding and sugar binding domain of LacI family protein, VK055_0204 periplasmic binding and sugar binding domain of LacI family protein, VK055_0767 periplasmic binding and sugar binding domain of LacI family protein, VK055_1936 periplasmic binding and sugar binding domain of LacI family protein
N0.HOG0000114	OG0000052	n0		ECL_00778 PTS system lactose/cellobiose family IIC subunit, ECL_03783 PTS system lactose/cellobiose family IIC subunit, ECL_00049 PTS system lactose/cellobiose family IIC subunit	VK055_2612 PTS system_ lactose/cellobiose IIC component family protein, VK055_4442 PTS system_ lactose/cellobiose IIC component family protein, VK055_0660 PTS system_ lactose/cellobiose IIC component family protein, VK055_2814 _celB2_ PTS system_ cellobiose-specific IIC component, VK055_4440 PTS system_ lactose/cellobiose IIC component family protein, VK055_3410 PTS system_ lactose/cellobiose IIC component family protein
N0.HOG0000115	OG0000053	n0	b1893 _insB5_ IS1 family protein InsB, b3445 _insB6_ IS1 family protein InsB, b4710 _insB9_ IS1 family transposase B, b0021 _insB1_ IS1 family protein InsB, b0264 _insB2_ IS1 family protein InsB, b0274 _insB3_ IS1 family protein InsB, b0988 _insB4_ IS1 family protein InsB	ECL_03694 putative transposase	
N0.HOG0000116	OG0000054	n0	b0139 _htrE_ putative fimbrial usher protein HtrE, b2109 _yehB_ putative fimbrial usher protein YehB, b3144 _yraJ_ putative fimbrial usher protein YraJ, b0532 _sfmD_ putative fimbrial usher protein SfmD, b1505 _ydeT_ fimbrial usher domain-containing protein YdeT, b4317 _fimD_ type I fimbriae usher protein, b0940 _elfC_ putative fimbrial usher protein ElfC	ECL_00940 fimbrial usher protein	
N0.HOG0000117	OG0000055	n1	b2176 _pdeN_ putative c-di-GMP phosphodiesterase PdeN	ECL_03495 hypothetical protein	VK055_4912 EAL domain protein
N0.HOG0000118	OG0000055	n4	b1168 _pdeG_ putative c-di-GMP phosphodiesterase PdeG	ECL_01111 hypothetical protein	VK055_1481 EAL domain protein
N0.HOG0000119	OG0000055	n6	b0315 _pdeL_ DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL		VK055_4207 EAL domain protein
N0.HOG0000120	OG0000056	n1	b1969 _hprR_ DNA-binding transcriptional dual regulator HprR	ECL_04877 _pcoR_ two-component system_ OmpR family_ copper resistance phosphate regulon response regulator CusR, ECL_A015 _pcoR_ two component heavy metal response transcriptional regulator	
N0.HOG0000121	OG0000056	n3	b0571 _cusR_ DNA-binding transcriptional activator CusR	ECL_01959 _cusR_ two-component system_ OmpR family_ copper resistance phosphate, ECL_04897 _cusR_ DNA-binding transcriptional activator CusR, ECL_A035 _cusR_ DNA-binding transcriptional activator CusR	VK055_2704 _copR_ transcriptional activator protein CopR
N0.HOG0000122	OG0000057	n0	b0572 _cusC_ copper/silver export system outer membrane channel	ECL_04893 _cusC_ Cu_I_/Ag_I_ efflux system outer membrane protein CusC, ECL_00382 Putative RND efflux system_ outer membrane lipoprotein, ECL_02909 RND efflux system_ outer membrane lipoprotein, ECL_04896 _cusC_ Cu_I_/Ag_I_ efflux system outer membrane protein CusC, ECL_A033 _cusC_ Copper/silver efflux system outer membrane protein CusC, ECL_01960 _cusC_ copper/silver efflux system outer membrane protein CusC	VK055_2705 outer membrane factor of the CusCFBA copper/silver efflux system
N0.HOG0000123	OG0000058	n1	b1587 _ynfE_ putative selenate reductase YnfE	ECL_02189 anaerobic dimethyl sulfoxide reductase_ A subunit	VK055_0920 _dmsA_ dimethyl sulfoxide reductase_ chain A
N0.HOG0000124	OG0000058	n4	b0894 _dmsA_ dimethyl sulfoxide reductase subunit A	ECL_02756 anaerobic dimethyl sulfoxide reductase_ A subunit	VK055_1559 _dmsA2_ dimethyl sulfoxide reductase_ chain A
N0.HOG0000125	OG0000058	n6	b1588 _ynfF_ putative selenate reductase YnfF	ECL_03864 _dmsA_ anaerobic dimethyl sulfoxide reductase subunit A	
N0.HOG0000126	OG0000059	n1	b1054 _lpxL_ lauroyl acyltransferase	ECL_02585 lipid A biosynthesis lauroyl acyltransferase	VK055_1399 _lpxL2_ lipid A biosynthesis lauroyl _or palmitoleoyl_ acyltransferase family protein
N0.HOG0000127	OG0000059	n3	b2378 _lpxP_ palmitoleoyl acyltransferase	ECL_03721 lipid A biosynthesis lauroyl acyltransferase family protein, ECL_01881 lipid A biosynthesis lauroyl acyltransferase	VK055_1295 _lpxL_ lipid A biosynthesis lauroyl _or palmitoleoyl_ acyltransferase family protein, VK055_2055 _lpxL3_ lipid A biosynthesis lauroyl _or palmitoleoyl_ acyltransferase family protein
N0.HOG0000128	OG0000060	n0	b1158 _pinE_ site-specific DNA recombinase	ECL_A223 putative resolvase domain protein, ECL_01722 DNA-invertase, ECL_01720 DNA-invertase	VK055_0009 resolvase_ N terminal domain protein, VK055_5190 resolvase_ N terminal domain protein, VK055_0010 helix-turn-helix domain of resolvase family protein, VK055_5191 helix-turn-helix domain of resolvase family protein
N0.HOG0000129	OG0000061	n1	b1415 _aldA_ aldehyde dehydrogenase A	ECL_04622 succinate semialdehyde dehydrogenase	VK055_0562 aldehyde dehydrogenase family protein, VK055_2005 feaB, VK055_1007 putative aldehyde dehydrogenase
N0.HOG0000130	OG0000061	n5	b2661 _gabD_ succinate-semialdehyde dehydrogenase _NADP_+__ GabD		VK055_1465 succinate-semialdehyde dehydrogenase family protein, VK055_2310 succinate-semialdehyde dehydrogenase family protein
N0.HOG0000131	OG0000062	n1	b1512 _lsrR_ DNA-binding transcriptional repressor LsrR	ECL_04483 DeoR family transcriptional regulator	VK055_3960 lsrR transcriptional repressor
N0.HOG0000132	OG0000062	n3	b4295 _yjhU_ putative DNA-binding transcriptional regulator YjhU		VK055_4982 helix-turn-helix domain protein, VK055_3066 _sorC_ sorbitol operon regulator, VK055_1940 transcriptional regulator_ putative, VK055_1344 _lsrR_ transcriptional repressor
N0.HOG0000133	OG0000063	n1	b1542 _ydfI_ putative oxidoreductase YdfI	ECL_02178 fructuronate reductase	VK055_0913 mannitol dehydrogenase Rossmann domain protein
N0.HOG0000134	OG0000063	n4	b2172 _yeiQ_ putative oxidoreductase YeiQ	ECL_03491 fructuronate reductase	VK055_4916 D-mannonate oxidoreductase
N0.HOG0000135	OG0000063	n6	b4323 _uxuB_ D-mannonate oxidoreductase		VK055_4983 mannitol dehydrogenase Rossmann domain protein
N0.HOG0000136	OG0000064	n1	b1748 _astC_ succinylornithine transaminase	ECL_02449 bifunctional succinylornithine transaminase/acetylornithine transaminase	VK055_1237 astC
N0.HOG0000137	OG0000064	n3	b3359 _argD_ N-acetylornithine aminotransferase/N-succinyldiaminopimelate aminotransferase	ECL_04736 bifunctional N-succinyldiaminopimelate- aminotransferase/acetylornithine transaminase protein	VK055_1016 astC, VK055_1960 aminotransferase class-III family protein, VK055_3730 argD
N0.HOG0000138	OG0000065	n1	b2309 _hisJ_ histidine ABC transporter periplasmic binding protein	ECL_03658 histidine/lysine/arginine/ornithine transport system substrate-binding protein	VK055_4815 lysine-arginine-ornithine-binding periplasmic family protein
N0.HOG0000139	OG0000065	n3	b2310 _argT_ lysine/arginine/ornithine ABC transporter periplasmic binding protein	ECL_02036 extracellular solute-binding protein, ECL_03659 histidine/lysine/arginine/ornithine transport system substrate-binding protein	VK055_2020 lysine-arginine-ornithine-binding periplasmic family protein, VK055_4814 lysine-arginine-ornithine-binding periplasmic family protein
N0.HOG0000140	OG0000066	n1	b3954 _yijO_ putative DNA-binding transcriptional regulator YijO	ECL_05033 AraC family transcriptional regulator	VK055_3233 bacterial regulatory helix-turn-helix_ AraC family protein
N0.HOG0000141	OG0000066	n3	b2382 _ypdC_ putative AraC-type DNA-binding transcriptional regulator YpdC	ECL_00183 putative transcriptional regulator, ECL_04351 AraC family transcriptional regulator	VK055_1476 bacterial regulatory helix-turn-helix_ AraC family protein, VK055_4325 bacterial regulatory helix-turn-helix_ AraC family protein
N0.HOG0000142	OG0000067	n0	b3368 _cysG_ siroheme synthase	ECL_04102 siroheme synthetase, ECL_04744 siroheme synthase	VK055_3716 _cysG2_ cysG, VK055_4401 _cysG_ cysG, VK055_4332 _cobM_ precorrin-4 C11-methyltransferase, VK055_4334 _cobJ_ precorrin-3B C17-methyltransferase, VK055_4337 _cobI_ precorrin-2 C20-methyltransferase
N0.HOG0000143	OG0000068	n0	b3543 _dppB_ dipeptide ABC transporter membrane subunit DppB	ECL_00231 hypothetical protein	VK055_4187 binding-protein-dependent transport system innermembrane component family protein, VK055_0455 binding-protein-dependent transport system innermembrane component family protein, VK055_1973 binding-protein-dependent transport system innermembrane component family protein, VK055_1956 binding-protein-dependent transport system innermembrane component family protein, VK055_4989 binding-protein-dependent transport system innermembrane component family protein, VK055_3569 _dppB_ dppB
N0.HOG0000144	OG0000069	n0	b3557 _insJ_ insertion element IS150 protein InsA	ECL_A094 putative IS3 family transposase orfA	VK055_2273 transposase family protein, VK055_1988 transposase family protein, VK055_0732 transposase family protein, VK055_4146 transposase family protein, VK055_2786 transposase family protein, VK055_1909 transposase family protein
N0.HOG0000145	OG0000070	n1	b2464 _talA_ transaldolase A	ECL_03761 transaldolase	VK055_4713 _tal2_ transaldolase
N0.HOG0000146	OG0000070	n3	b0008 _talB_ transaldolase B	ECL_00821 transaldolase B	VK055_1337 _tal_ transaldolase, VK055_2566 _tal3_ transaldolase
N0.HOG0000147	OG0000071	n0	b0198 _metI_ L-methionine/D-methionine ABC transporter membrane subunit	ECL_02358 D-methionine transport system permease protein, ECL_01002 DL-methionine transporter permease subunit	VK055_4369 binding-protein-dependent transport system innermembrane component family protein, VK055_0836 binding-protein-dependent transport system innermembrane component family protein, VK055_1072 binding-protein-dependent transport system innermembrane component family protein, VK055_2354 binding-protein-dependent transport system innermembrane component family protein
